k,fee,max_slippage,num_hybrid_agents,fundamental_file_path,seed,effect_type,hybrid_spread_mean,hybrid_depth_mean,hybrid_volume_mean,original_spread_mean,original_depth_mean,original_volume_mean,spread_mean,spread_t,spread_p,depth_mean,depth_t,depth_p,volume_mean,volume_t,volume_p
1000000000.0,0.001,0.01,100,data/ETH1.xlsx,5678,混合效应,2.568667232812983,398.18837193051877,617.0866666666667,21.006666666666668,402.69666666666666,824.0066666666667,-18.437999433853683,-5.199690591181751,3.7082767969949176e-07,-4.508294736147879,-0.12876753550410044,0.897628165511666,-206.92,-1.036805753582541,0.3006641534130684
1000000000.0,0.001,0.04,100,data/ETH1.xlsx,5678,混合效应,6.156128656209526,354.3105061370334,578.5233333333333,21.006666666666668,402.69666666666666,824.0066666666667,-14.850538010457143,-4.003891625009578,7.866219885532324e-05,-48.38616052963324,-1.42254315606671,0.1559110411494471,-245.48333333333332,-1.246609742534669,0.21351634152725132
1000000000.0,0.001,0.07,100,data/ETH1.xlsx,5678,混合效应,8.453159249444688,339.46063885104485,589.88,21.006666666666668,402.69666666666666,824.0066666666667,-12.553507417221978,-3.2323861054874183,0.0013647729953679014,-63.23602781562185,-1.8527034871471963,0.06491013832909459,-234.12666666666667,-1.187329645947397,0.23604002431997828
1000000000.0,0.001,0.1,100,data/ETH1.xlsx,5678,混合效应,6.895128799765645,322.13708463589546,587.4966666666667,21.006666666666668,402.69666666666666,824.0066666666667,-14.111537866901022,-3.838792543410373,0.0001509151784805505,-80.55958203077117,-2.3959924151233065,0.017189930551908397,-236.51,-1.2009822520868125,0.2307086022499867
1000000000.0,0.004,0.01,100,data/ETH1.xlsx,5678,混合效应,2.5207962398367667,440.68753934021436,640.55,21.006666666666668,402.69666666666666,824.0066666666667,-18.4858704268299,-5.21736197880672,3.398328592983007e-07,37.990872673547685,1.0816594408511495,0.2802754806946346,-183.45666666666668,-0.9193888328183205,0.35863333036498835
1000000000.0,0.004,0.04,100,data/ETH1.xlsx,5678,混合效应,5.408960339989772,368.80997999870556,588.2366666666667,21.006666666666668,402.69666666666666,824.0066666666667,-15.597706326676896,-4.271599305755397,2.6108215055302005e-05,-33.88668666796111,-0.9763943398151509,0.32965838020458593,-235.77,-1.1974393187426253,0.2320838021769808
1000000000.0,0.004,0.07,100,data/ETH1.xlsx,5678,混合效应,8.808011252767402,347.6176217983072,589.89,21.006666666666668,402.69666666666666,824.0066666666667,-12.198655413899264,-3.171016423731866,0.0016767772911367395,-55.079044868359475,-1.6081260458589066,0.10886294618427333,-234.11666666666667,-1.187396314478598,0.23601377881327162
1000000000.0,0.004,0.1,100,data/ETH1.xlsx,5678,混合效应,6.460300693021768,324.5731358171396,589.8433333333334,21.006666666666668,402.69666666666666,824.0066666666667,-14.546365973644898,-3.9781360143210294,8.720419563411276e-05,-78.12353084952713,-2.3124023571692702,0.021434539088019143,-234.16333333333333,-1.1883565334574868,0.2356359979916635
1000000000.0,0.007,0.01,100,data/ETH1.xlsx,5678,混合效应,3.112826514921262,424.7360733556793,638.83,21.006666666666668,402.69666666666666,824.0066666666667,-17.893840151745405,-5.04093120390053,8.039994327708515e-07,22.03940668901263,0.6262702682158559,0.5316154921750381,-185.17666666666668,-0.9269803820208751,0.35468435571419366
1000000000.0,0.007,0.04,100,data/ETH1.xlsx,5678,混合效应,5.2270376955880735,351.835387244099,574.0933333333334,21.006666666666668,402.69666666666666,824.0066666666667,-15.779628971078594,-4.399405546584273,1.5115228812244315e-05,-50.8612794225677,-1.5033236116874793,0.133811070855731,-249.91333333333333,-1.2696227886444216,0.20520628772827826
